date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:49	35049/35049	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:02:40%20GMT	https://ecofixbd.webflow.io/product-listing	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/product-listing.html	(from https://ecofixbd.webflow.io/)
09:06:49	55708/55708	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:02:44%20GMT	https://ecofixbd.webflow.io/marketplace	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/marketplace.html	(from https://ecofixbd.webflow.io/)
09:06:50	32514/32514	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:03:32%20GMT	https://ecofixbd.webflow.io/waste-collection-tracking	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/waste-collection-tracking.html	(from https://ecofixbd.webflow.io/)
09:06:50	29227/29227	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:04:00%20GMT	https://ecofixbd.webflow.io/schedule-waste-collection	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/schedule-waste-collection.html	(from https://ecofixbd.webflow.io/)
09:06:50	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=680e75d51b1cb01796f30237	C:/My%20Web%20Sites/EcoFix_Final/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c81c8e.js	(from https://ecofixbd.webflow.io/)
09:06:51	219667/219667	---MCZ	200	added ('OK')	text/javascript	etag:W/%2249cf74bd4d1fb53df908119ed78d3399%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.schunk.6c94673727302d98.js	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.schunk.6c94673727302d98.js	(from https://ecofixbd.webflow.io/)
09:06:51	1277195/1277195	---MCZ	200	added ('OK')	text/javascript	etag:W/%22872b428c6dca11e7bf58a5b2fd32e528%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.schunk.52ff5f6ffc9f633a.js	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.schunk.52ff5f6ffc9f633a.js	(from https://ecofixbd.webflow.io/)
09:06:51	6600/6600	---MCZ	200	added ('OK')	text/javascript	etag:W/%22799f2916031b70173864fe07e45b31dc%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.7366925c.43b467997a850cf6.js	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.7366925c.43b467997a850cf6.js	(from https://ecofixbd.webflow.io/)
09:06:52	157474/157474	---M--	200	added ('OK')	image/jpeg	etag:%22259325b3800919450afec7bf3b28344c%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681217f28488edb1c2ebb17a_living%20room.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681217f28488edb1c2ebb17a_living%20room.jpg	(from https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/css/ecofixbd.webflow.shared.8c9efd14f.css)
09:06:52	538851/538851	---M--	200	added ('OK')	image/jpeg	etag:%22e702763b49e2616bb51e78fd81edcca7%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b415107c4e79e3528570f_profile.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b415107c4e79e3528570f_profile.jpg	(from https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/css/ecofixbd.webflow.shared.8c9efd14f.css)
09:06:52	42455/42455	---MCZ	200	added ('OK')	text/javascript	etag:W/%223ef4a78147ef7a67b0ddb743bf6a3ce2%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.e5cd339d.e506a3143c5d0afe.js	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/js/webflow.e5cd339d.e506a3143c5d0afe.js	(from https://ecofixbd.webflow.io/sign-in)
09:06:53	25121/25121	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:02:31%20GMT	https://ecofixbd.webflow.io/dashboard-user	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/dashboard-user.html	(from https://ecofixbd.webflow.io/request-pickup)
09:06:53	17865/17865	---M--	200	added ('OK')	image/png	etag:%227d5e11ccf5a7ea8ea9c74ac0a8357f5b%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/68166afb14fa50908c637b31_online-shopping.png	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/68166afb14fa50908c637b31_online-shopping.png	(from https://ecofixbd.webflow.io/marketplace)
09:06:53	6353/6353	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20May%202025%2003:06:53%20GMT	https://ecofixbd.webflow.io/sign-up	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/sign-up.html	(from https://ecofixbd.webflow.io/)
09:06:53	65560/65560	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:03:35%20GMT	https://ecofixbd.webflow.io/dashboard-admin	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/dashboard-admin.html	(from https://ecofixbd.webflow.io/waste-collection-tracking)
09:06:53	65212/65212	---M--	200	added ('OK')	image/jpeg	etag:%22fba1a24931f3f45a37b9bf2644e037f0%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681a5f823c233fa94722a5ff_Waste-Management-Vehicle-Tracking.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681a5f823c233fa94722a5ff_Waste-Management-Vehicle-Tracking.jpg	(from https://ecofixbd.webflow.io/waste-collection-tracking)
09:06:54	158075/158075	---M--	200	added ('OK')	image/jpeg	etag:%220ce4d05802866878fe31badf680dc157%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681a38bad360cf0102777820_Garbage_Truck.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681a38bad360cf0102777820_Garbage_Truck.jpg	(from https://ecofixbd.webflow.io/schedule-waste-collection)
09:06:54	5915/5915	---M--	200	added ('OK')	image/jpeg	etag:%224f4e411e0dd8176f8d75b5a505ea0848%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681217f28488edb1c2ebb171_icon%20search.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681217f28488edb1c2ebb171_icon%20search.jpg	(from https://ecofixbd.webflow.io/dashboard-user)
09:06:55	6353/6353	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20May%202025%2003:06:55%20GMT	https://ecofixbd.webflow.io/sign-up	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/sign-up.html	(from https://ecofixbd.webflow.io/)
